Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG _on_step] timestep=1, rewards=[0.37548018], dones=[False]
[DEBUG] Env 0: reward=0.37548017501831055, accumulated=0.37548017501831055, done=False
[DEBUG _on_step] timestep=2, rewards=[0.37949616], dones=[False]
[DEBUG] Env 0: reward=0.37949615716934204, accumulated=0.7549763321876526, done=False
[DEBUG _on_step] timestep=3, rewards=[0.429452], dones=[False]
[DEBUG] Env 0: reward=0.42945200204849243, accumulated=1.184428334236145, done=False
[DEBUG _on_step] timestep=4, rewards=[0.42508698], dones=[False]
[DEBUG] Env 0: reward=0.42508697509765625, accumulated=1.6095153093338013, done=False
[DEBUG _on_step] timestep=5, rewards=[0.42508698], dones=[False]
[DEBUG] Env 0: reward=0.42508697509765625, accumulated=2.034602165222168, done=False
[DEBUG _on_step] timestep=6, rewards=[0.47461915], dones=[False]
[DEBUG] Env 0: reward=0.47461915016174316, accumulated=2.509221315383911, done=False
[DEBUG _on_step] timestep=7, rewards=[0.47461915], dones=[False]
[DEBUG] Env 0: reward=0.47461915016174316, accumulated=2.9838404655456543, done=False
[DEBUG _on_step] timestep=8, rewards=[0.47939938], dones=[False]
[DEBUG] Env 0: reward=0.4793993830680847, accumulated=3.463239908218384, done=False
[DEBUG _on_step] timestep=9, rewards=[0.429452], dones=[False]
[DEBUG] Env 0: reward=0.42945200204849243, accumulated=3.8926918506622314, done=False
[DEBUG _on_step] timestep=10, rewards=[0.37949616], dones=[False]
[DEBUG] Env 0: reward=0.37949615716934204, accumulated=4.272188186645508, done=False
[DEBUG _on_step] timestep=11, rewards=[0.37949616], dones=[False]
[DEBUG] Env 0: reward=0.37949615716934204, accumulated=4.651684284210205, done=False
[DEBUG _on_step] timestep=12, rewards=[0.37949616], dones=[False]
[DEBUG] Env 0: reward=0.37949615716934204, accumulated=5.031180381774902, done=False
[DEBUG _on_step] timestep=13, rewards=[0.429452], dones=[False]
[DEBUG] Env 0: reward=0.42945200204849243, accumulated=5.46063232421875, done=False
[DEBUG _on_step] timestep=14, rewards=[0.47939938], dones=[False]
[DEBUG] Env 0: reward=0.4793993830680847, accumulated=5.9400315284729, done=False
