2026-03-15 12:52:41,447 INFO    MainThread:1424043 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_setup.py:_flush():81] Configure stats pid to 1424043
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/edn/exploration-marl/wandb/run-20260315_125241-rk11tbqu/logs/debug.log
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/edn/exploration-marl/wandb/run-20260315_125241-rk11tbqu/logs/debug-internal.log
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_init.py:init():844] calling init triggers
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'algorithm': 'PPO', 'env': {'size': 200, 'action_type': 'discrete', 'terminal_radius': 5, 'reward_type': 'dense', 'background': True}, 'n_steps': 512, 'batch_size': 64, 'n_epochs': 10, 'learning_rate': 0.0003, 'gamma': 0.98, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01, 'verbose': 1, 'net_arch': {'pi': [64, 64], 'vf': [64, 64]}, 'total_timesteps': 200000, 'save_path': 'ppo_nav_agent', '_wandb': {}}
2026-03-15 12:52:41,448 INFO    MainThread:1424043 [wandb_init.py:init():892] starting backend
2026-03-15 12:52:41,686 INFO    MainThread:1424043 [wandb_init.py:init():895] sending inform_init request
2026-03-15 12:52:41,697 INFO    MainThread:1424043 [wandb_init.py:init():903] backend started and connected
2026-03-15 12:52:41,700 INFO    MainThread:1424043 [wandb_init.py:init():973] updated telemetry
2026-03-15 12:52:41,716 INFO    MainThread:1424043 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-15 12:52:42,349 INFO    MainThread:1424043 [wandb_init.py:init():1042] starting run threads in backend
2026-03-15 12:52:42,496 INFO    MainThread:1424043 [wandb_run.py:_console_start():2524] atexit reg
2026-03-15 12:52:42,496 INFO    MainThread:1424043 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-15 12:52:42,496 INFO    MainThread:1424043 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-15 12:52:42,496 INFO    MainThread:1424043 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-15 12:52:42,503 INFO    MainThread:1424043 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-15 12:52:48,775 INFO    wandb-AsyncioManager-main:1424043 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-15 12:52:48,775 INFO    wandb-AsyncioManager-main:1424043 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
